id;module_name;start_date;end_date
1;best-of-breed disintermediate;blockchains Chips Cotton;array
2;firewall;Pines payment;SAS Montana
3;blue bus Customer;logistical leading-edge leverage;installation sexy
4;Point Response Movies;Iowa;cross-platform
5;Soap Rupiah;Honduras synergies;Korea Rustic Granite
6;payment SQL;matrix;port
7;mobile;Metal Home Refined;salmon
8;payment experiences;Investment Square white;Rustic Buckinghamshire cross-platform
9;Concrete Licensed Product;leading-edge;Realigned TCP Fresh
10;payment Island New;monitor;vertical Garden object-oriented
